Provinsi,GDP,Unemployment Rate,Inflation Rate,Income Average per hour,Industrial Production Index,Population Density (per KM),Children,Teen,Adult,Senior,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Perkotaan,Perdesaan,Digital Wallet Adoption Rate,Panjang Jalan Negara (km),Panjang Jalan Provinsi (km),Panjang Jalan Kabupaten/Kota (km),Jumlah Panjang Jalan(km),Area,Ports,Airports,Pasar Tradisional 2019,Pusat Perbelanjaan 2019,Toko Swalayan 2019,Jumlah Bencana Alam,Micro Business,Small Business,Household Consumptions,Market Potential,Cluster,color
PAPUA PEGUNUNGAN,-1.1182721,-2.083885,1.4520054,-2.1943953,-1.8652128,-0.26155618,-0.69929844,-0.681118,-0.651095,-0.5761075,-2.89917,-2.86689,-2.614828,-0.5533722,-0.7516256,-0.18679492,-1.61675,-1.2642292,-1.2235366,-1.3508824,0.06328945,-0.7979745,-0.64114434,-0.8828283,-0.6588241,-0.78655404,-0.794927,-0.55179197,-0.34929055,-0.5800619,-0.5068943,Cluster 4,darkgreen
PAPUA TENGAH,-1.1182721,-2.083885,2.0260324,-2.1943953,-1.8652128,-0.26155618,-0.69929844,-0.681118,-0.651095,-0.5761075,-2.89917,-2.86689,-2.614828,-0.5533722,-0.7516256,-0.18679492,-1.61675,-1.2642292,-1.2235366,-1.3508824,0.3187566,-0.61960375,-0.64114434,-0.8828283,-0.6588241,-0.78655404,-0.8005986,-0.55179197,-0.34929055,-0.5800619,-0.5068943,Cluster 4,darkgreen
PAPUA SELATAN,-1.1182721,-2.083885,3.0175345,-2.1943953,-1.8652128,-0.26155618,-0.69929844,-0.681118,-0.651095,-0.5761075,-2.89917,-2.86689,-2.614828,-0.5533722,-0.7516256,-0.18679492,-1.61675,-1.2642292,-1.2235366,-1.3508824,1.7898602,-0.32231912,-0.64114434,-0.8828283,-0.6588241,-0.78655404,-0.794927,-0.55179197,-0.34929055,-0.5800619,-0.5068943,Cluster 4,darkgreen
PAPUA BARAT DAYA,-1.1182721,-2.083885,-0.3048662,-2.1943953,-1.8652128,-0.26155618,-0.69929844,-0.681118,-0.651095,-0.5761075,-2.89917,-2.86689,-2.614828,-0.5533722,-0.7516256,-0.18679492,-1.61675,-1.2642292,-1.2235366,-1.3508824,-1.2636759,-0.08449142,-0.64114434,-0.8828283,-0.6588241,-0.78655404,-0.777912,-0.55179197,-0.34929055,-0.5800619,-0.5068943,Cluster 4,darkgreen
NUSA TENGGARA TIMUR,-0.7659339,-0.42368835,-0.8788935,-0.35204718,1.0349681,-0.21795833,-0.0660577,-0.12657097,-0.2056566,-0.18367024,0.22933333,0.084243156,-0.684949,-0.36161762,0.209872,-0.18062608,1.1494793,1.0660084,0.79070127,0.9072349,-0.06021803,2.174872,0.70172495,0.24849106,-0.5047606,0.078101926,-0.16537346,0.2964791,-0.27506033,-0.41490224,-0.8400548,Cluster 3,green
PAPUA,-0.15215257,-0.75666565,0.59966177,1.3693073,0.54170996,-0.25605735,-0.23558992,-0.28160655,-0.24395886,-0.36747065,-0.21678257,-0.4653374,-0.8607962,-0.37295476,-0.01906272,-0.1845701,1.9524951,0.81276006,0.49505925,0.67363006,0.878633,-0.025034495,0.9894826,-0.5807146,-0.31218123,-0.45938691,-0.7438821,-0.4797058,-0.32904595,-0.3390024,0.21737882,Cluster 3,green
PAPUA BARAT,0.15287527,0.4345489,1.8868746,1.0106918,0.4544149,-0.25723568,-0.57936496,-0.55582464,-0.54544544,-0.5222694,0.20521893,0.30428982,0.049080245,-0.48494813,-0.59076667,-0.18345769,0.09849202,0.76703465,-0.24158648,-0.12764949,0.2980903,-0.025034495,5.593606,-0.72641486,-0.5432765,-0.7398159,-0.7552254,-0.52067703,-0.33978173,-0.52255595,0.08762574,Cluster 3,green
SULAWESI SELATAN,-0.05509161,0.031224439,-0.6353668,0.02290872,1.0421048,-0.18457256,0.20157962,0.26841643,0.16131657,0.17902808,0.39545444,0.30822563,0.37857193,0.002749847,0.46273735,-0.16414215,0.6175615,0.5023548,1.5453472,1.4852378,-0.089136526,1.164104,0.22212875,0.76272714,0.111493304,-0.2490652,0.7080611,0.09522883,-0.19849889,0.13624449,-0.21779417,Cluster 3,green
SULAWESI TENGAH,0.60735035,-0.67693865,-0.33965573,-0.14972568,1.3322266,-0.24231029,-0.37538293,-0.37840924,-0.38384482,-0.37630516,0.36832562,0.3550976,-0.14186515,-0.42274,-0.2528362,-0.1810306,1.4180077,0.18139756,0.13128875,0.24078514,0.33256197,0.9262763,0.030290283,0.03636867,-0.42772886,-0.482756,-0.21074669,-0.112988986,-0.20825312,-0.38620356,-0.27153572,Cluster 3,green
KALIMANTAN TIMUR,2.7686732,0.59400296,-0.13091852,0.6132834,0.60904294,-0.24977298,-0.3150544,-0.29570514,-0.30033746,-0.34673828,0.3790431,0.52684134,0.65477616,-0.19547468,-0.46356624,-0.1707155,0.70492965,-0.47722432,-0.10323649,-0.09206418,2.0264785,-0.025034495,0.22212875,-0.35573635,0.111493304,1.0829724,0.6229863,-0.42114788,-0.3164084,-0.3078407,0.8782241,Cluster 3,green
