Provinsi,GDP,Unemployment Rate,Inflation Rate,Income Average per hour,Industrial Production Index,Population Density (per KM),Children,Teen,Adult,Senior,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Perkotaan,Perdesaan,Digital Wallet Adoption Rate,Panjang Jalan Negara (km),Panjang Jalan Provinsi (km),Panjang Jalan Kabupaten/Kota (km),Jumlah Panjang Jalan(km),Area,Ports,Airports,Pasar Tradisional 2019,Pusat Perbelanjaan 2019,Toko Swalayan 2019,Jumlah Bencana Alam,Micro Business,Small Business,Household Consumptions,Market Potential
ACEH,38900.0,6.17,0.15,17585.0,177.94,92.0,1461114.0,476741.0,2910659.0,426357.0,99.08,94.55,74.46,1832610.0,3575245.0,0.0,2112.0,1782.0,19766.0,23660.0,56834.75,1.0,11.0,478.0,7.0,12.0,236.0,108050.0,448.0,32006026.32,-0.4398150204819422
SUMATERA UTARA,62922.0,6.16,0.48,17609.0,146.04,205.0,4071059.0,1312750.0,8163589.0,1251963.0,98.75,94.35,74.43,8393580.0,6721626.0,4.22,2620.0,3006.0,35139.0,40765.0,72460.74,0.0,7.0,858.0,23.0,18.0,217.0,117806.0,3108.0,140465509.39,-0.12617398586980744
SUMATERA BARAT,50264.0,6.28,0.51,16694.0,127.12,133.0,1406959.0,491186.0,3057276.0,579051.0,95.81,90.65,68.64,2733399.0,2907230.0,1.38,1423.0,1525.0,18051.0,20999.0,42119.54,2.0,3.0,491.0,12.0,30.0,136.0,86129.0,1755.0,42808689.01,-0.41112717499906115
RIAU,151259.0,4.37,0.3,18413.0,118.38,75.0,1788536.0,565145.0,3622778.0,417628.0,98.09,90.52,67.79,2643317.0,3971067.0,1.61,1254.0,2800.0,20152.0,24206.0,89935.9,0.0,6.0,690.0,17.0,36.0,260.0,44623.0,1863.0,92580189.27,0.16932860855902787
JAMBI,76164.0,4.59,0.19,17596.0,148.52,72.0,930234.0,302566.0,2034919.0,280509.0,97.76,89.35,66.62,1228433.0,2402703.0,0.93,1319.0,1033.0,10850.0,13202.0,49026.58,0.0,3.0,378.0,8.0,21.0,93.0,32656.0,339.0,32420617.06,-0.2910068853440057
SUMATERA SELATAN,68237.0,4.63,0.06,16273.0,137.76,93.0,2258986.0,700306.0,4767248.0,740892.0,97.58,87.95,64.81,3265793.0,5391215.0,2.54,1581.0,1514.0,16492.0,19587.0,86771.68,1.0,3.0,833.0,13.0,17.0,85.0,72707.0,1349.0,99017283.3,-0.257191470439956
BENGKULU,43757.0,3.59,0.3,17410.0,175.44,102.0,521694.0,172144.0,1149467.0,167365.0,97.1,89.25,63.41,686450.0,1373642.0,0.53,782.0,1563.0,6883.0,9228.0,20128.34,1.0,3.0,225.0,3.0,14.0,38.0,18435.0,354.0,15030563.18,-0.46658494355786434
LAMPUNG,44984.0,4.52,0.08,13958.0,148.12,262.0,2289612.0,732269.0,5120680.0,865287.0,98.67,87.67,64.54,3017621.0,6158925.0,2.14,1298.0,1693.0,17774.0,20765.0,33570.26,9.0,3.0,639.0,11.0,37.0,74.0,82715.0,1818.0,73577353.24,-0.48915970939376596
KEPULAUAN BANGKA BELITUNG,63872.0,4.77,-0.32,20141.0,108.05,90.0,363044.0,126577.0,844513.0,121544.0,96.01,87.11,68.96,861639.0,632982.0,0.48,599.0,851.0,4441.0,5891.0,16690.13,0.0,0.0,78.0,4.0,30.0,125.0,18756.0,423.0,15124535.26,-0.2604588769034379
KEPULAUAN RIAU,145579.0,8.23,0.37,27640.0,226.06,258.0,554899.0,172485.0,1211898.0,125282.0,97.92,95.51,78.97,1897638.0,282182.0,0.84,589.0,896.0,4203.0,5688.0,8269.71,0.0,7.0,70.0,15.0,55.0,105.0,16926.0,113.0,36259813.44,0.4572042020854162
